Date,ZIP Code,Model Year,Fuel,Make,Duty,Vehicles,ZIP,latitude,longitude
12/31/2023,91040,2023,Battery Electric,CHEVROLET,Light,11,91040,34.2586303,-118.3346126
12/31/2023,91406,2023,Battery Electric,CHEVROLET,Light,26,91406,34.1978905,-118.4899087
12/31/2023,90068,2023,Battery Electric,CHEVROLET,Light,11,90068,34.1279717,-118.3290444
12/31/2023,90006,2020,Battery Electric,OTHER/UNK,Light,7,90006,34.0480942,-118.2940452
12/31/2023,91016,2023,Battery Electric,CHEVROLET,Light,17,91016,34.1524939,-118.0006547
12/31/2023,90066,2013,Battery Electric,NISSAN,Light,15,90066,34.0016696,-118.4310061
12/31/2023,90405,2013,Battery Electric,OTHER/UNK,Light,8,90405,34.0110566,-118.4722614
12/31/2023,91405,2013,Battery Electric,NISSAN,Light,20,91405,34.2015494,-118.4487208
12/31/2023,90046,2015,Battery Electric,OTHER/UNK,Light,16,90046,34.1075914,-118.365712
12/31/2023,91790,2016,Battery Electric,OTHER/UNK,Light,11,91790,34.0672293,-117.9378608
12/31/2023,90065,2016,Battery Electric,OTHER/UNK,Light,31,90065,34.1086636,-118.2281108
12/31/2023,90403,2016,Battery Electric,OTHER/UNK,Light,9,90403,34.0302285,-118.4914025
12/31/2023,90401,2013,Battery Electric,OTHER/UNK,Light,2,90401,34.0160989,-118.4924539
12/31/2023,91403,2015,Battery Electric,OTHER/UNK,Light,10,91403,34.1472054,-118.4630822
12/31/2023,91801,2015,Battery Electric,OTHER/UNK,Light,8,91801,34.0909238,-118.127761
12/31/2023,91316,2013,Battery Electric,OTHER/UNK,Light,6,91316,34.1583267,-118.5165848
12/31/2023,90043,2015,Battery Electric,OTHER/UNK,Light,18,90043,33.9887679,-118.3352594
12/31/2023,91042,2013,Battery Electric,OTHER/UNK,Light,10,91042,34.306863,-118.2570043
12/31/2023,90670,2014,Battery Electric,OTHER/UNK,Light,5,90670,33.9328315,-118.0626132
12/31/2023,90278,2024,Battery Electric,OTHER/UNK,Light,27,90278,33.8736054,-118.3702644
12/31/2023,90220,2020,Battery Electric,OTHER/UNK,Light,11,90220,33.8805843,-118.2359355
12/31/2023,90230,2020,Battery Electric,OTHER/UNK,Light,23,90230,33.9969705,-118.3947783
12/31/2023,90650,2020,Battery Electric,OTHER/UNK,Light,18,90650,33.907022,-118.0825014
12/31/2023,90032,2018,Battery Electric,OTHER/UNK,Light,12,90032,34.0793131,-118.1783356
12/31/2023,91731,2017,Battery Electric,OTHER/UNK,Light,9,91731,34.0791547,-118.0404903
12/31/2023,90623,2017,Battery Electric,OTHER/UNK,Light,11,90623,33.8503602,-118.0408728
12/31/2023,90745,2024,Battery Electric,OTHER/UNK,Heavy,2,90745,33.8211807,-118.2646029
12/31/2023,91501,2014,Battery Electric,OTHER/UNK,Light,4,91501,34.1947627,-118.2943134
